Oneg;347;115;n
Corsa-Nois Bay;673;100;p
Everston;869;234;n
Nordberg;221;302;f
Gelbion;489;336;n
Nisogora;172;427;n
Surako;558;529;f
Cursed City;109;633;n
Naabad Stronghold;408;675;p
West Bastion;222;815;n
Masadora;504;827;n
Sharhat;296;1107;k
Assab;105;1213;k
Al-Khalif;121;1393;k
Devios;546;1175;n
El Tigre;557;1366;f
San Cristobel;755;1348;n
Pirate City;844;1420;p
San Martinas;1090;1373;n
South Bastion;1299;1285;n
Bord Radel;1524;1397;n
Puerto Salada;1735;1235;n
Los Catuano;1581;1159;n
St. John;1374;1018;f
Santa Maria;1712;1023;f
Freebooter Bay;1766;836;p
Fiji;1453;743;n
Brandport;1638;665;f
Freedom Bay;1768;509;f
Gray Island;1354;400;n
North Bastion;1553;352;n
Northside;1718;195;n
Severoangelsk;1464;133;n
Aldansk;1275;132;f
Aruba;1085;350;n
Nevis;829;535;n
Thermopylae;1261;615;n
Bridgetown;735;832;n
Charleston;767;985;n
Laguna Blanco;977;965;n
La Navidad;1245;915;n
Tortuga;1130;771;p
